scan_date,ticker,company,strategy,strategies_count,price_at_scan,score,wr,avg,adx,rsi,vol_ratio,price_d5,ret_d5,r_multiple_d5,spy_ret_d5,excess_ret_d5,hit_stop_loss_d5,price_d10,ret_d10,r_multiple_d10,spy_ret_d10,excess_ret_d10,hit_stop_loss_d10,max_drawdown_d10
2026-06-22,ALW.L,,connors_rsi2,2,1333.0,4,50.0,-0.06,20.4,56.0,0.23,1340.8459,0.59,,,,0,1340.0,0.53,,,,0,-2.18
2026-06-22,HBAN,,connors_rsi2,1,16.86,2,42.9,-1.14,24.2,58.9,1.33,17.82,5.69,,-0.46,6.15,0,17.86,5.93,,0.05,5.88,0,0.24
2026-06-22,FCIT.L,,connors_rsi2,1,349.4,4,38.5,0.22,43.1,61.9,0.4,347.7992,-0.46,,,,0,344.0,-1.55,,,,0,-2.12
2026-06-22,CRDA.L,,connors_rsi2,1,3104.0,4,0.0,-6.15,23.6,57.1,0.13,3016.0,-2.84,,,,0,3001.0,-3.32,,,,1,-5.64
2026-06-22,HRL,,connors_rsi2,1,24.16,3,,,38.7,67.3,0.93,26.31,8.9,,-0.46,9.36,0,25.0,3.48,,0.05,3.43,0,-0.95
2026-06-22,AIZ,,ema_ribbon,1,259.86,4,40.0,0.05,36.7,68.9,1.97,267.98,3.12,,-0.46,3.58,0,279.48,7.55,,0.05,7.5,0,0.16
2026-06-22,PFG,,ema_ribbon,1,109.57,3,33.3,-0.9,32.7,71.6,2.86,108.51,-0.97,,-0.46,-0.51,0,110.87,1.19,,0.05,1.14,1,-4.48
2026-06-22,ANET,,nr7,1,169.67,3,55.6,2.14,15.4,57.3,1.28,164.1,-3.28,,-0.46,-2.82,1,159.99,-5.71,,0.05,-5.76,1,-8.8
2026-06-22,INVP.L,,nr7,1,636.25,2,53.3,-0.85,23.9,38.0,0.18,608.5,-4.36,,,,1,599.5,-5.78,,,,1,-8.06
2026-06-22,CNC,,nr7,1,61.02,4,50.0,0.35,46.0,53.3,2.19,64.54,5.77,,-0.46,6.23,0,67.86,11.21,,0.05,11.16,0,1.15
2026-06-22,ITRK.L,,nr7,1,5800.0,2,50.0,-0.15,36.1,77.2,0.29,5805.0,0.09,,,,0,5807.5,0.13,,,,0,-0.17
2026-06-22,UAL,,nr7,1,118.32,4,45.5,-0.68,29.0,53.8,1.16,135.19,14.26,,-0.46,14.72,0,133.32,12.68,,0.05,12.63,0,-1.31
2026-06-22,PSON.L,,nr7,1,1129.0,2,45.5,0.04,14.5,51.4,0.1,1185.5,5.0,,,,0,1233.0,9.21,,,,0,-0.66
2026-06-22,ABNB,,bb_squeeze,1,142.41,4,50.0,1.64,14.5,65.2,1.92,147.17,3.34,,-0.46,3.8,0,148.93,4.58,,0.05,4.53,1,-3.16
2026-06-22,PHM,,bb_squeeze,1,126.96,4,0.0,-1.26,17.8,65.5,3.19,137.94,8.65,,-0.46,9.11,0,133.67,5.29,,0.05,5.24,0,-1.66
2026-06-22,WDC,,high_tight_flag,1,746.23,5,50.0,10.17,34.3,73.7,2.08,651.88,-12.64,,-0.46,-12.18,1,539.0,-27.77,,0.05,-27.82,1,-29.53
2026-06-23,INTC,,momentum,2,140.94,7,,,29.9,67.6,0.96,131.72,-6.54,,1.01,-7.55,1,122.2,-13.3,-4.43,2.41,-15.71,1,-16.54
2026-06-23,CMI,,breakout,1,724.93,8,,,17.3,67.7,1.0,691.09,-4.67,,1.01,-5.68,1,678.24,-6.44,-2.15,2.41,-8.85,1,-9.79
2026-06-23,GEV,,breakout,1,1127.59,8,,,21.1,72.7,1.25,1102.51,-2.22,,1.01,-3.23,0,1152.04,2.17,0.72,2.41,-0.24,1,-9.27
2026-06-23,IBKR,,breakout,1,96.82,8,,,19.9,69.7,0.75,88.2,-8.9,,1.01,-9.91,1,95.99,-0.86,-0.29,2.41,-3.27,1,-10.49
2026-06-23,AXP,,breakout,2,338.07,6,,,18.3,67.6,0.99,340.88,0.83,,1.01,-0.18,0,356.03,5.31,1.77,2.41,2.9,0,-1.49
2026-06-23,ADI,,breakout,1,445.48,6,,,20.2,63.2,0.82,391.78,-12.05,,1.01,-13.06,1,388.83,-12.72,-4.24,2.41,-15.13,1,-16.35
2026-06-23,ANET,,breakout,2,174.56,6,,,15.5,53.1,1.1,164.1,-5.99,,1.01,-7.0,1,173.28,-0.73,-0.24,2.41,-3.14,1,-11.35
2026-06-23,COHR,,breakout,1,425.48,6,,,15.2,59.3,1.47,391.22,-8.05,,1.01,-9.06,1,335.7,-21.1,-7.03,2.41,-23.51,1,-23.46
2026-06-23,HWM,,breakout,1,280.36,6,,,22.5,66.4,0.96,268.57,-4.21,,1.01,-5.22,1,277.91,-0.87,-0.29,2.41,-3.28,1,-7.77
2026-06-23,KEYS,,breakout,2,373.34,6,,,14.8,69.2,0.92,340.13,-8.9,,1.01,-9.91,1,319.73,-14.36,-4.79,2.41,-16.77,1,-16.61
2026-06-23,MCHP,,breakout,1,102.71,6,,,21.2,61.7,0.91,89.06,-13.29,,1.01,-14.3,1,87.59,-14.72,-4.91,2.41,-17.13,1,-19.34
2026-06-23,NSC,,breakout,1,304.17,6,,,13.7,48.9,1.17,316.65,4.1,,1.01,3.09,0,321.9,5.83,1.94,2.41,3.42,0,-0.68
2026-06-23,SYF,,breakout,1,75.71,6,,,17.9,63.7,0.7,78.37,3.51,,1.01,2.5,0,77.05,1.77,0.59,2.41,-0.64,0,-1.97
2026-06-23,TER,,breakout,1,457.0,6,,,16.7,64.9,0.97,463.21,1.36,,1.01,0.35,0,379.52,-16.95,-5.65,2.41,-19.36,1,-20.79
2026-06-23,NXT.L,,breakout,2,14325.0,6,,,23.2,71.9,0.02,14565.0,1.68,,,,0,14575.0,1.75,,,,1,-18.37
2026-06-23,AIR.PA,,breakout,2,188.48,6,,,16.2,78.0,0.05,191.3,1.5,,,,0,205.25,8.9,,,,0,-0.52
2026-06-23,ORA.PA,,breakout,1,16.97,6,,,21.7,44.6,0.07,16.86,-0.65,,,,0,15.83,-6.72,,,,1,-7.45
2026-06-23,ALW.L,,breakout,1,1309.0,5,,,18.9,47.7,0.07,1340.8459,2.43,,,,0,1351.0,3.21,,,,0,-0.38
2026-06-23,HSX.L,,breakout,1,1785.0,5,,,19.4,57.3,0.02,1859.0,4.15,,,,0,1855.0,3.92,,,,0,-0.67
2026-06-23,UU.L,,breakout,1,1288.0,5,,,22.0,44.1,0.02,1299.0,0.85,,,,0,1344.0,4.35,,,,1,-13.12
2026-06-23,CA.PA,,breakout,1,16.28,5,,,16.6,54.9,0.08,16.285,0.03,,,,0,16.06,-1.35,,,,1,-4.02
2026-06-23,AAPL,,breakout,1,297.01,4,,,26.1,42.2,0.85,281.74,-5.14,,1.01,-6.15,1,312.66,5.27,1.76,2.41,2.86,1,-7.83
2026-06-23,CARR,,breakout,3,71.85,4,,,22.3,67.4,0.73,73.43,2.2,,1.01,1.19,0,70.1,-2.44,-0.81,2.41,-4.85,1,-3.47
2026-06-23,CPAY,,breakout,2,347.17,4,,,11.7,39.3,1.04,335.34,-3.41,,1.01,-4.42,1,356.55,2.7,0.9,2.41,0.29,1,-7.48
2026-06-23,JBL,,breakout,1,377.24,4,,,17.1,57.2,1.1,373.58,-0.97,,1.01,-1.98,0,338.22,-10.34,-3.45,2.41,-12.75,1,-10.21
2026-06-23,IFF,,breakout,1,75.95,4,,,24.8,56.8,0.72,76.5,0.72,,1.01,-0.29,0,82.77,8.98,2.99,2.41,6.57,0,-2.45
2026-06-23,SWK,,breakout,1,86.31,4,,,17.4,69.9,1.38,93.65,8.5,,1.01,7.49,0,92.56,7.24,2.41,2.41,4.83,1,-3.6
2026-06-23,UAL,,breakout,3,118.68,4,,,29.7,58.0,1.18,135.19,13.91,,1.01,12.9,0,132.5,11.64,3.88,2.41,9.23,0,-1.61
2026-06-23,ABDN.L,,breakout,2,234.6,4,,,23.9,44.3,0.06,237.6,1.28,,,,0,257.6,9.8,,,,0,-1.45
2026-06-23,BATS.L,,breakout,2,4514.5,4,,,27.4,56.0,0.04,4689.3242,3.87,,,,0,4635.0,2.67,,,,0,-0.96
2026-06-23,CRDA.L,,breakout,1,3077.0,4,,,23.5,63.0,0.02,3016.0,-1.98,,,,0,3005.0,-2.34,,,,1,-4.81
2026-06-23,INVP.L,,breakout,1,626.5,4,,,23.9,43.8,0.03,608.5,-2.87,,,,0,607.5,-3.03,,,,1,-6.62
2026-06-23,PSON.L,,breakout,2,1129.0,4,,,14.0,56.3,0.02,1185.5,5.0,,,,0,1242.0,10.01,,,,0,-0.66
2026-06-23,STAN.L,,breakout,1,2080.0,4,,,25.8,56.3,0.04,2041.0,-1.88,,,,0,2102.0,1.06,,,,1,-3.08
2026-06-23,SGRO.L,,breakout,1,737.6,4,,,16.3,60.5,0.02,876.4,18.82,,,,0,885.4,20.04,,,,0,-1.55
2026-06-23,FME.DE,,breakout,1,41.18,4,,,21.7,85.1,0.05,40.8,-0.92,,,,0,40.9,-0.68,,,,1,-4.86
2026-06-23,DB1.DE,,breakout,1,244.4,4,,,12.8,59.0,0.04,238.7,-2.33,,,,0,246.7,0.94,,,,1,-3.56
2026-06-23,AC.PA,,breakout,3,48.64,4,,,24.6,69.0,0.06,50.26,3.33,,,,0,50.46,3.74,,,,0,-1.17
